iter	Logloss
0	0.6922265427
1	0.6914877581
2	0.6907629719
3	0.6899024764
4	0.6891753445
5	0.6885643803
6	0.6879122873
7	0.6872288844
8	0.6864935296
9	0.6859029126
10	0.6852071587
11	0.6845512716
12	0.6841475963
13	0.6836341335
14	0.6830411033
15	0.6823819318
16	0.6817317034
17	0.6812893972
18	0.6809200775
19	0.6803581747
20	0.6797401109
21	0.6791544023
22	0.6787804827
23	0.6783412916
24	0.6777750346
25	0.6773612637
26	0.6769452102
27	0.6764772148
28	0.6759736105
29	0.6754701914
30	0.6750329001
31	0.6746829756
32	0.6742607219
33	0.6739384564
34	0.673653929
35	0.6732888336
36	0.672895346
37	0.6724607347
38	0.6721702897
39	0.6718081094
40	0.6714081507
41	0.6711355317
42	0.6708119019
43	0.6705139418
44	0.6701537889
45	0.6698092187
46	0.6693943292
47	0.6690107195
48	0.6687810532
49	0.6684868845
50	0.6682472272
51	0.6679576178
52	0.6677120744
53	0.6673813976
54	0.6670364822
55	0.6668099022
56	0.666491478
57	0.6662352445
58	0.6658993357
59	0.665653207
60	0.6654974452
61	0.6652412227
62	0.6650969748
63	0.6647848543
64	0.6646291849
65	0.664357225
66	0.6641552494
67	0.6640208596
68	0.663782172
69	0.663516514
70	0.6633299694
71	0.663177115
72	0.6630585939
73	0.6629021354
74	0.6626630358
75	0.6625314199
76	0.6623104324
77	0.6621232729
78	0.6619031754
79	0.6617367261
80	0.6615221084
81	0.6612976887
82	0.661128153
83	0.6609861194
84	0.6607994291
85	0.660577577
86	0.6604168485
87	0.6602260109
88	0.6600758198
89	0.6599479787
90	0.6598142285
91	0.6596367934
92	0.6594680494
93	0.6593649346
94	0.6591846454
95	0.6590314586
96	0.6587806328
97	0.6586277799
98	0.6585258779
99	0.6584292646
100	0.6582594744
101	0.6581441496
102	0.6579951434
103	0.6578877536
104	0.6577093554
105	0.6575763273
106	0.6574705256
107	0.6573016908
108	0.6572354972
109	0.6571296664
110	0.6569379928
111	0.6568299524
112	0.6567161861
113	0.6565638763
114	0.6564809084
115	0.6563332695
116	0.6561924444
117	0.656069637
118	0.6559439961
119	0.655842954
120	0.6557260721
121	0.6555926363
122	0.6554335832
123	0.6553524618
124	0.6552368944
125	0.655123728
126	0.6550258911
127	0.6549378766
128	0.6548764529
129	0.6547732924
130	0.6546680508
131	0.6545963944
132	0.6544992113
133	0.6543698688
134	0.654244864
135	0.6541645313
136	0.6540905943
137	0.6539782934
138	0.6538828529
139	0.6538125985
140	0.6537406842
141	0.6536793331
142	0.6535554152
143	0.6534721031
144	0.6533515575
145	0.6532295791
146	0.6531486705
147	0.6530525378
148	0.653013073
149	0.6529077711
150	0.6527981668
151	0.6527007759
152	0.652661231
153	0.652574722
154	0.6525077115
155	0.6524075764
156	0.6523425093
157	0.652286427
158	0.652168103
159	0.6520832624
160	0.6520529881
161	0.6519692783
162	0.6518648012
163	0.6517759715
164	0.6517316735
165	0.6516732658
166	0.6516322921
167	0.6515456825
168	0.6514819838
169	0.6514075282
170	0.6513451538
171	0.6512293992
172	0.6511640298
173	0.6510748515
174	0.6509619049
175	0.6509110519
176	0.6508142317
177	0.6507683512
178	0.6507153198
179	0.6506569041
180	0.6505786123
181	0.6505257863
182	0.6504894237
183	0.6504220315
184	0.6503648696
185	0.6503135155
186	0.6502596117
187	0.6501695989
188	0.6501255564
189	0.6500389078
190	0.6500061316
191	0.6499434665
192	0.6498848047
193	0.6498070289
194	0.6497205787
195	0.6496398598
196	0.6495983987
197	0.6494954824
198	0.6494068143
199	0.649349868
